Time		ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16	ROI17	ROI18	ROI19	ROI20	ROI21	ROI22	ROI23	ROI24	ROI25	ROI26	ROI27	ROI28	ROI29
0.7		1.021039	1.011609	1.036579	1.014287	1.031714	1.023586	1.0069912	1.01612	1.0072253	1.027607	1.06001	1.021826	0.945139	0.960377	1.02415	1.016072	1.045413	1.023931	1.056355	1.056224	1.028135	0.979531	0.9908358	1.021998	1.011804	1.025373	1.01214	1.025415	1.018462
0.71		1.015614	0.9987721	1.0099593	1.0011261	1.02396	1.030197	1.018831	1.011376	0.99915421	0.9971455	1.066614	1.0039191	1.026016	1.016441	1.014727	1.058996	1.012082	1.039601	1.013352	0.978484	1.023419	1.050764	1.035788	1.060932	1.013227	1.022348	1.04155	1.047623	0.961765
0.72		1.068947	1.068814	1.048173	1.017691	1.03508	1.05635	1.082159	0.953018	1.068983	1.0042732	1.052018	1.0090836	1.028138	1.015874	1.057597	1.035149	1.020625	1.07772	1.038528	0.98849	1.034678	1.017613	1.065183	0.9989813	0.9968895	1.063613	1.0039966	1.018207	1.0025395
0.73		1.065359	1.013778	1.0094564	1.0040776	1.04138	1.057959	1.06681	1.0034625	1.003311	1.061688	1.081118	1.016231	1.012721	0.962589	1.057296	1.025815	1.051841	1.038155	1.028571	1.031411	1.053514	1.01075	1.022097	1.019282	1.01714	1.00056059	1.049495	1.07289	1.060552
0.74		1.028796	1.06163	1.026334	1.054339	1.042172	1.096674	1.026851	0.981485	1.0069368	1.014822	1.045001	1.0053255	0.9978805	1.017316	1.061515	1.04009	1.026416	1.03242	1.034943	1.041861	0.9999752	1.016723	1.019236	1.0092235	1.029312	1.023255	1.063199	1.0089516	1.058814
0.75		1.031994	1.022763	1.015842	0.9908665	1.03716	1.039079	1.0057026	1.01704	1.0074171	0.997122	1.0030219	0.9927596	1.062221	1.078975	1.036719	1.04957	1.041266	1.0066837	1.017429	1.0065339	1.023151	1.016764	1.036049	1.013167	1.061979	1.024104	1.015281	1.0022543	1.0000612
0.76		1.068229	0.969746	1.022028	1.057587	1.060732	1.053526	1.023843	0.980596	1.017855	1.053961	1.037397	0.989323	1.032916	1.02531	1.015717	1.045182	0.9981693	1.020648	1.03244	1.062612	1.013891	1.044394	1.060505	0.956105	1.029064	1.035121	1.016276	1.029343	1.051719
0.77		0.985022	0.98299	1.015992	0.978897	1.0072971	1.0036782	1.034184	0.97906	0.970799	1.011485	1.0081729	1.023888	1.00073743	1.033101	1.013557	0.977859	1.013219	1.035288	1.02258	1.010321	1.035836	0.982868	0.9941678	1.010037	1.020485	0.949456	1.0039727	1.01131	0.982633
0.78		1.025003	0.970682	1.031985	1.017099	1.025675	0.98606	1.036319	1.049638	1.035053	1.028356	1.043706	1.01891	1.033091	0.989175	1.067292	1.048171	1.024571	1.058525	1.041194	1.040597	1.01227	1.042046	1.024985	1.011459	0.9951258	0.9965575	0.977297	1.036197	1.012887
0.79		1.058043	1.046554	1.009502	1.017502	1.027642	1.02266	1.032736	1.0094327	1.012566	1.028801	0.9911488	0.989412	1.0086491	1.010783	0.97688	0.9961913	1.050432	1.012859	1.020819	0.9981849	1.010255	0.9945295	1.024268	0.99948923	1.012593	1.043655	1.019986	1.049857	0.957014
0.8		1.04236	1.044861	1.00159	1.034365	1.058654	1.023638	1.045723	1.043835	1.021496	1.033367	1.021342	1.016787	1.086626	1.023171	1.039535	1.02688	1.034219	1.032463	1.068874	1.059048	1.026313	1.023628	1.015344	1.054533	1.017323	1.023684	1.025131	1.00053084	0.9930734
0.81		1.034515	1.037359	1.029385	1.054553	1.044547	1.0073281	1.036988	1.021381	1.022478	1.03549	1.013344	1.010818	1.026216	1.0084832	1.022713	1.035238	1.025754	1.048027	0.9917265	1.027864	1.049992	1.029772	1.017222	1.023287	1.0021966	1.043364	0.977994	0.9985767	1.0044875
0.82		0.9955231	1.037133	1.037377	1.0075496	1.028082	1.014407	0.9971825	1.023323	0.9930754	1.0398	1.0080521	0.9938595	1.069865	0.985958	0.9920268	0.9926627	0.9920457	0.9928038	1.032615	0.9940032	1.036591	1.038437	1.01575	1.034145	1.03917	0.977996	1.019291	1.027271	1.025519
